"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","ARCTIC MONKEYS","Do I Wanna Know?",2578,0,52,0,13.407,0,163,"97",1,2578,229,13.407
2,"=","LORDE","Team",2365,0,82,0,12.82,0,124,"10",2,2365,332,12.82
3,"=","CAGE THE ELEPHANT","Come A Little Closer",2226,0,-109,0,11.72,0,175,"--",1,2572,519,14.39
4,"=","NEIGHBOURHOOD","Afraid",1746,0,-12,0,8.313,0,171,"213",4,1758,162,8.313
5,"=","BASTILLE","Pompeii",1705,0,-124,0,10.057,0,220,"7",1,2402,317,13.012
6,"=","YOUNG THE GIANT","It's About Time",1650,0,40,0,6.588,0,94,"--",6,1654,537,6.606
7,"=","VAMPIRE WEEKEND","Unbelievers",1529,0,29,0,8.6,0,163,"--",7,1535,192,8.862
8,"=","PEARL JAM","Sirens",1487,0,-44,0,6.053,0,133,"--",4,1601,399,6.198
9,"=","FOSTER THE PEOPLE","Coming Of Age",1426,0,367,0,7.221,0,18,"--",9,1426,931,7.221
10,"=","IMAGINE DRAGONS","Demons",1288,0,-3,0,8.125,0,312,"23",1,2097,281,11.561
11,"=","TWENTY ONE PILOTS","House Of Gold",1126,0,-36,0,4.159,0,154,"--",10,1214,155,4.583
12,"=","CHVRCHES","The Mother We Share",1097,0,0,0,3.787,0,142,"--",11,1107,164,3.787
13,"=","J. RODDY WALSTON/THE BUSINESS","Heavy Bells",976,0,-3,0,2.804,0,159,"--",12,979,113,2.805
14,"=","PHANTOGRAM","Fall In Love",889,0,100,0,4.254,0,57,"--",14,889,193,4.254
15,"=","QUEENS OF THE STONE AGE","I Sat By The Ocean",881,0,28,0,3.845,0,172,"--",13,886,133,3.845
16,"=","FITZ & THE TANTRUMS","Walker",827,0,48,0,3.338,0,68,"104",16,827,157,3.338
17,"=","SILVERSUN PICKUPS","Cannibal",784,0,66,0,2.5,0,26,"--",17,784,388,2.5
18,"=","BROKEN BELLS","Holding On For Life",771,0,-11,0,2.231,0,82,"140",15,783,149,2.451
19,"=","KINGS OF LEON","Temple",754,0,23,0,2.823,0,110,"--",17,760,129,2.823
20,"=","AIRBORNE TOXIC EVENT","Hell And Back",714,0,-5,0,2.691,0,110,"--",16,722,118,2.711
21,"=","IMAGINE DRAGONS","On Top Of The World",634,0,-70,0,2.319,0,82,"93",17,711,124,2.441
22,"=","NEON TREES","Sleeping With A Friend",617,0,200,0,2.435,0,19,"--",22,617,327,2.493
23,"=","NEW POLITICS","Tonight You're Perfect",599,0,4,0,2.214,0,96,"--",22,602,87,2.332
24,"=","OF MONSTERS AND MEN","Dirty Paws",579,0,-15,0,2.77,0,83,"--",23,607,124,3.177
25,"=","SWITCHFOOT","Who We Are",526,0,-187,0,1.403,0,132,"--",14,873,228,2.522
26,"=","ARCADE FIRE","Afterlife",515,0,32,0,1.594,0,55,"--",25,515,133,1.601
27,"=","BASTILLE","Bad Blood",488,0,161,0,1.925,0,28,"--",27,488,161,1.925
28,"=","PORTUGAL. THE MAN","Modern Jesus",424,0,-26,0,1.236,0,103,"--",26,462,87,1.877
29,"=","KONGOS","Come With Me Now",417,0,174,0,3.811,0,13,"--",29,417,188,3.811
30,"=","AMERICAN AUTHORS","Best Day Of My Life",344,0,-5,0,1.428,0,76,"26",28,353,68,2.188
31,"=","BEAR HANDS","Giants",315,0,26,0,0.884,0,47,"--",31,315,84,0.931
32,"=","CROSSES","The Epilogue",295,0,48,0,0.56,0,73,"--",32,295,58,0.564
33,"=","LINKIN PARK X STEVE AOKI","A Light That Never Comes",289,0,-82,0,1.037,0,137,"--",7,1391,592,5.61
34,"=","GROUPLOVE","Shark Attack",281,0,16,0,0.508,0,19,"--",33,281,111,0.508
35,"=","HELLOGOODBYE","Everything Is Debatable",252,0,-52,0,0.632,0,93,"--",28,382,88,0.992
36,"=","AVENGED SEVENFOLD","Shepherd Of Fire",247,0,29,0,0.65,0,47,"--",36,247,58,0.687
37,"=","JAKE BUGG","What Doesn't Kill You",230,0,-21,0,0.389,0,81,"--",33,251,51,0.54
38,"=","A DAY TO REMEMBER","Right Back At It Again",222,0,-3,0,0.689,0,96,"--",35,239,48,0.821
39,"=","WILD CUB","Thunder Clatter",178,0,35,0,0.395,0,18,"--",39,178,35,0.707
40,"=","SIR SLY","Gold",173,0,5,0,0.712,0,14,"--",39,174,41,0.723
41,"=","VOLBEAT","Lola Montez",165,0,33,0,0.444,0,31,"--",41,165,34,0.444
42,"=","BASIC VACATION","I Believe",164,0,-39,0,0.456,0,80,"--",36,222,74,0.793
43,"=","HEAD AND THE HEART","Shake",162,0,-7,0,0.598,0,58,"--",41,171,49,0.682
44,"=","MAGIC MAN","Paris",157,0,-8,0,0.439,0,14,"--",42,167,70,0.557
45,"=","BIRDY","Skinny Love",157,0,-42,0,0.395,0,49,"212",39,199,44,0.697
46,"=","PHOENIX","S.O.S. In Bel Air",155,0,-3,0,0.263,0,66,"--",36,222,50,0.466
47,"=","MORNING PARADE","Alienation",118,0,17,0,0.171,0,4,"--",47,120,29,0.171
48,"=","WOMBATS","Your Body Is A Weapon",117,0,-3,0,0.338,0,7,"--",48,122,0,0.371
49,"=","KINGS OF LEON","Wait For Me",117,0,-4,0,0.872,0,27,"--",47,160,53,1.421
50,"=","BAD SUNS","Cardiac Arrest",115,0,32,0,0.26,0,2,"--",50,115,32,0.26
